     52463,   0.04091930,   0.04028571,   1.07037139
     52466,   0.02846301,   0.02807796,   1.06426811
     52468,   0.03469121,   0.03418183,   1.05816483
     52470,   0.03469121,   0.03418183,   1.05206132
     52472,   0.04091930,   0.03418183,   1.05816483
     52474,   0.02846301,   0.04028571,   1.05206132
     52476,   0.03469121,   0.03418183,   1.03375149
     52478,   0.03469121,   0.03418183,   1.03985476
     52481,   0.02846301,   0.04638958,   1.04595804
     52484,   0.04091930,   0.03418183,   1.03375149
     52486,   0.03469121,   0.02197397,   1.05816483
     52488,   0.04091930,   0.02197397,   1.05816483
     52490,   0.03469121,   0.04638958,   1.06426811
     52492,   0.04091930,   0.03418183,   1.05816483
     52494,   0.02846301,   0.05249345,   1.06426811
     52496,   0.02846301,   0.03418183,   1.05206132
     52498,   0.02846301,   0.04028571,   1.04595804
     52501,   0.02846301,   0.03418183,   1.04595804
     52503,   0.02846301,   0.04028571,   1.03375149
     52505,   0.02846301,   0.04028571,   1.03985476
     52507,   0.02846301,   0.04028571,   1.03985476
     52509,   0.04091930,   0.04028571,   1.04595804
     52511,   0.03469121,   0.04028571,   1.05206132
     52513,   0.04091930,   0.04028571,   1.05816483
     52515,   0.04714751,   0.02197397,   1.07037139
     52518,   0.03469121,   0.03418183,   1.05816483
     52520,   0.04091930,   0.03418183,   1.05816483
     52523,   0.02846301,   0.02807796,   1.05206132
     52525,   0.03469121,   0.03418183,   1.04595804
     52527,   0.02223480,   0.03418183,   1.04595804
     52529,   0.03469121,   0.03418183,   1.03985476
     52531,   0.02846301,   0.04028571,   1.04595804
     52533,   0.03469121,   0.04028571,   1.05206132
     52536,   0.01600659,   0.03418183,   1.05206132
     52538,   0.03469121,   0.03418183,   1.06426811
     52540,   0.02846301,   0.02807796,   1.05816483
     52542,   0.04091930,   0.04028571,   1.05816483
     52544,   0.03469121,   0.03418183,   1.05206132
     52546,   0.03469121,   0.02807796,   1.04595804
     52548,   0.02846301,   0.02807796,   1.04595804
     52550,   0.04091930,   0.02807796,   1.03985476
     52553,   0.02846301,   0.04028571,   1.03375149
     52555,   0.04091930,   0.02807796,   1.03985476
     52557,   0.03469121,   0.03418183,   1.03985476
     52559,   0.03469121,   0.02807796,   1.03985476
     52561,   0.03469121,   0.02807796,   1.04595804
     52563,   0.03469121,   0.02197397,   1.05816483
     52566,   0.02223480,   0.04028571,   1.06426811
     52568,   0.02846301,   0.02807796,   1.05206132
     52571,   0.02846301,   0.02197397,   1.05206132
