You entered a buffer length of 100
0.286186, 0.047366, 1.016479, -0.195752, -0.747116, -1.456407, 0.950237, -0.195752, 0.876518, -0.747116, 2.352070, -1.456407
0.283259, 0.043582, 1.001282, -0.183296, -0.759324, -1.511337, 0.950237, -0.183296, 0.876518, -0.759324, 2.352070, -1.511337
0.280269, 0.040164, 0.985047, -0.214437, -0.771531, -1.547957, 0.950237, -0.214437, 0.876518, -0.771531, 2.352070, -1.547957
0.277653, 0.036929, 0.968080, -0.201981, -0.777635, -1.596784, 0.950237, -0.201981, 0.876518, -0.777635, 2.352070, -1.596784
0.274788, 0.033144, 0.951051, -0.208209, -0.789843, -1.608990, 0.950237, -0.208209, 0.876518, -0.789843, 2.352070, -1.608990
0.272048, 0.028749, 0.934145, -0.189524, -0.814259, -1.621197, 0.950237, -0.189524, 0.876518, -0.814259, 2.352070, -1.621197
0.269370, 0.023683, 0.917178, -0.183296, -0.826466, -1.639507, 0.950237, -0.183296, 0.876518, -0.826466, 2.352070, -1.639507
0.267065, 0.018007, 0.900211, -0.164611, -0.844778, -1.639507, 0.950237, -0.164611, 0.876518, -0.844778, 2.352070, -1.639507
0.265072, 0.012513, 0.883365, -0.164611, -0.838674, -1.615093, 0.950237, -0.164611, 0.876518, -0.838674, 2.352070, -1.615093
0.263515, 0.006531, 0.867008, -0.152155, -0.863090, -1.602887, 0.950237, -0.152155, 0.876518, -0.863090, 2.352070, -1.602887
0.262270, 0.000549, 0.850651, -0.133470, -0.856986, -1.590680, 0.950237, -0.133470, 0.876518, -0.856986, 2.352070, -1.590680
0.261398, -0.005555, 0.834600, -0.133470, -0.869194, -1.572370, 0.950237, -0.133470, 0.876518, -0.869194, 2.352070, -1.572370
0.260837, -0.011475, 0.818426, -0.121014, -0.863090, -1.547957, 0.950237, -0.121014, 0.876518, -0.863090, 2.352070, -1.547957
0.260463, -0.017396, 0.802252, -0.114786, -0.856986, -1.523544, 0.950237, -0.114786, 0.876518, -0.856986, 2.352070, -1.523544
0.259903, -0.023683, 0.786078, -0.102329, -0.856986, -1.505234, 0.950237, -0.102329, 0.876518, -0.856986, 2.352070, -1.505234
0.259218, -0.030214, 0.769843, -0.077416, -0.838674, -1.474717, 0.950237, -0.077416, 0.876518, -0.838674, 2.352070, -1.474717
0.258097, -0.036806, 0.753670, -0.089873, -0.820363, -1.431994, 0.950237, -0.089873, 0.876518, -0.820363, 2.352070, -1.431994
0.256664, -0.043277, 0.737618, -0.071188, -0.802051, -1.383167, 0.950237, -0.071188, 0.876518, -0.802051, 2.352070, -1.383167
0.254920, -0.049503, 0.721322, -0.077416, -0.771531, -1.340444, 0.950237, -0.077416, 0.876518, -0.771531, 2.352070, -1.340444
0.252927, -0.055606, 0.704782, -0.071188, -0.759324, -1.297720, 0.950237, -0.071188, 0.876518, -0.759324, 2.352070, -1.297720
