Magnitude of ( 0.17, 0.03, 0.99) is:   1.00
Magnitude of ( 0.17, 0.03, 0.99) is:   1.00
Magnitude of ( 0.17, 0.03, 0.98) is:   1.00
Magnitude of ( 0.17, 0.02, 0.98) is:   1.00
Magnitude of ( 0.17, 0.02, 0.98) is:   1.00
Magnitude of ( 0.16, 0.02, 1.00) is:   1.01
Magnitude of ( 0.17, 0.01, 0.98) is:   0.99
Magnitude of ( 0.17, 0.01, 0.98) is:   0.99
Magnitude of ( 0.17, 0.01, 0.98) is:   0.99
Magnitude of ( 0.17, 0.01, 0.97) is:   0.99
Magnitude of ( 0.17, 0.01, 0.97) is:   0.99
Magnitude of ( 0.17, 0.00, 0.98) is:   0.99
Magnitude of ( 0.18, 0.01, 0.98) is:   0.99
Magnitude of ( 0.18, 0.00, 0.97) is:   0.99
Magnitude of ( 0.18,-0.00, 0.97) is:   0.99
Magnitude of ( 0.18,-0.00, 0.97) is:   0.99
Magnitude of ( 0.17,-0.00, 0.97) is:   0.99
Magnitude of ( 0.17,-0.01, 0.96) is:   0.98
Magnitude of ( 0.17,-0.01, 0.96) is:   0.98
Magnitude of ( 0.18,-0.00, 0.96) is:   0.98
Magnitude of ( 0.19,-0.00, 0.96) is:   0.98
Magnitude of ( 0.18,-0.00, 0.96) is:   0.98
Magnitude of ( 0.18,-0.00, 0.96) is:   0.98
Magnitude of ( 0.18,-0.00, 0.96) is:   0.98
Magnitude of ( 0.19,-0.00, 0.96) is:   0.98
Magnitude of ( 0.18,-0.00, 0.96) is:   0.98
Magnitude of ( 0.19, 0.00, 0.96) is:   0.98
Magnitude of ( 0.17,-0.01, 0.93) is:   0.95
Magnitude of ( 0.19, 0.01, 0.96) is:   0.98
Magnitude of ( 0.19, 0.01, 0.96) is:   0.98
Magnitude of ( 0.19, 0.01, 0.96) is:   0.98
Magnitude of ( 0.18, 0.01, 0.95) is:   0.96
Magnitude of ( 0.18, 0.01, 0.95) is:   0.96
Magnitude of ( 0.18, 0.01, 0.95) is:   0.97
Magnitude of ( 0.18, 0.01, 0.95) is:   0.97
Magnitude of ( 0.18, 0.01, 0.95) is:   0.97
Magnitude of ( 0.18, 0.01, 0.95) is:   0.96
Magnitude of ( 0.18, 0.01, 0.95) is:   0.96
Magnitude of ( 0.17, 0.00, 0.93) is:   0.95
Magnitude of ( 0.17, 0.00, 0.93) is:   0.95
Magnitude of ( 0.17, 0.01, 0.93) is:   0.95
Magnitude of ( 0.18, 0.00, 0.94) is:   0.96
Magnitude of ( 0.16,-0.00, 0.95) is:   0.97
Magnitude of ( 0.17, 0.00, 0.95) is:   0.96
