Magnitude of ( 0.01, 0.29, 1.00) is:   1.04
Magnitude of ( 0.01, 0.29, 1.00) is:   1.04
Magnitude of ( 0.01, 0.30, 1.01) is:   1.05
Magnitude of ( 0.01, 0.30, 1.01) is:   1.06
Magnitude of ( 0.01, 0.31, 1.01) is:   1.06
Magnitude of ( 0.02, 0.30, 1.01) is:   1.06
Magnitude of ( 0.02, 0.30, 1.01) is:   1.06
Magnitude of ( 0.01, 0.30, 1.01) is:   1.06
Magnitude of ( 0.00, 0.30, 1.01) is:   1.05
Magnitude of ( 0.00, 0.30, 1.01) is:   1.05
Magnitude of ( 0.01, 0.29, 1.01) is:   1.05
Magnitude of ( 0.01, 0.29, 1.01) is:   1.05
Magnitude of ( 0.03, 0.30, 1.01) is:   1.06
Magnitude of ( 0.03, 0.30, 1.01) is:   1.06
Magnitude of ( 0.03, 0.29, 1.01) is:   1.06
Magnitude of ( 0.02, 0.29, 1.01) is:   1.05
Magnitude of ( 0.02, 0.28, 1.00) is:   1.04
Magnitude of ( 0.02, 0.27, 1.00) is:   1.03
Magnitude of ( 0.02, 0.27, 1.00) is:   1.03
Magnitude of ( 0.01, 0.24, 0.96) is:   0.99
Magnitude of ( 0.02, 0.26, 0.98) is:   1.02
Magnitude of ( 0.02, 0.26, 0.98) is:   1.02
Magnitude of ( 0.02, 0.25, 0.97) is:   1.00
Magnitude of ( 0.02, 0.25, 0.96) is:   1.00
Magnitude of ( 0.02, 0.25, 0.96) is:   0.99
Magnitude of ( 0.02, 0.25, 0.96) is:   0.99
Magnitude of ( 0.02, 0.24, 0.95) is:   0.98
Magnitude of ( 0.02, 0.24, 0.95) is:   0.98
Magnitude of ( 0.02, 0.24, 0.94) is:   0.97
Magnitude of ( 0.02, 0.24, 0.93) is:   0.96
Magnitude of ( 0.02, 0.23, 0.92) is:   0.95
Magnitude of ( 0.02, 0.23, 0.92) is:   0.95
Magnitude of ( 0.02, 0.23, 0.92) is:   0.94
Magnitude of ( 0.02, 0.23, 0.92) is:   0.94
Magnitude of ( 0.01, 0.22, 0.92) is:   0.94
Magnitude of ( 0.02, 0.24, 0.92) is:   0.95
Magnitude of ( 0.02, 0.24, 0.92) is:   0.95
Magnitude of ( 0.01, 0.24, 0.92) is:   0.95
Magnitude of ( 0.01, 0.24, 0.90) is:   0.93
Magnitude of ( 0.01, 0.24, 0.90) is:   0.93
Magnitude of ( 0.01, 0.24, 0.90) is:   0.93
Magnitude of ( 0.02, 0.25, 0.92) is:   0.95
Magnitude of ( 0.02, 0.25, 0.90) is:   0.94
Magnitude of ( 0.02, 0.25, 0.90) is:   0.94
Magnitude of ( 0.01, 0.25, 0.91) is:   0.94
Magnitude of ( 0.01, 0.25, 0.91) is:   0.94
Magnitude of ( 0.01, 0.26, 0.92) is:   0.95
Magnitude of ( 0.00, 0.26, 0.92) is:   0.96
Magnitude of (-0.00, 0.27, 0.93) is:   0.97
Magnitude of ( 0.02, 0.28, 0.93) is:   0.97
Magnitude of (-0.01, 0.27, 0.93) is:   0.97
Magnitude of (-0.00, 0.27, 0.93) is:   0.97
Magnitude of ( 0.00, 0.27, 0.94) is:   0.98
Magnitude of ( 0.00, 0.27, 0.94) is:   0.98
Magnitude of ( 0.00, 0.27, 0.95) is:   0.98
Magnitude of ( 0.01, 0.26, 0.95) is:   0.98
Magnitude of ( 0.00, 0.24, 0.92) is:   0.95
Magnitude of ( 0.01, 0.25, 0.95) is:   0.99
Magnitude of ( 0.02, 0.25, 0.95) is:   0.99
Magnitude of ( 0.02, 0.25, 0.95) is:   0.99
Magnitude of ( 0.02, 0.25, 0.95) is:   0.98
Magnitude of ( 0.02, 0.24, 0.95) is:   0.98
Magnitude of ( 0.03, 0.24, 0.96) is:   0.99
